Arrondissement,Catégorie ,Sous-Catégorie,Nom,Description,Adresse ,Numéro de téléphone,Courriel,Site Internet
13001,ALIMENTATION,ACTEUR DE LA LOGISTIQUE EN CIRCUITS COURTS,PANIERS MARSEILLAIS,,28 boulevard National 13001 Marseille,,,
13001,ALIMENTATION,AMAP,LA RUCHE QUI DIT OUI 13001,,17 rue Thubaneau 13001 Marseille,,,
13001,ALIMENTATION,AMAP,PAMA Panier de Marité,,Square de la Rotonde Rue des Héros 13001 Marseille,,,
13001,ALIMENTATION,BOULANGERIE ARTISANALE,LE BAR À PAIN,,18 Cours Joseph Thierry 13001 Marseille,,,
13001,ALIMENTATION,CAVE A VINS NATURELS,LA CAVE DES PAPILLES,,84 rue Grignan 13001 Marseille,,,
13001,ALIMENTATION,CAVE A VINS NATURELS,POUR DU VIN NAT(H),,1bis rue Farjon 13001 Marseille,,,
13001,ALIMENTATION,EPICERIE BIO ET LOCALE,LA BONNE SAISON,,24 Boulevard National 13001,,,
13001,ALIMENTATION,EPICERIE BIO ET LOCALE,LE BAR À VRAC,,65 Allée Léon Gambetta 13001 Marseille,,,
13001,ALIMENTATION,EPICERIE BIO ET LOCALE,L’ÉPICERIE PAYSANNE,,71 rue Léon Bourgeois 13001 Marseille,,,
13001,ALIMENTATION,EPICERIE BIO ET LOCALE,O VRAC,,33 RUE DES 3 MAGES 13001 Marseille,,,
13001,ALIMENTATION,MARCHÉS PAYSANS,MARCHÉ AUX POISSONS,,Quai de la fraternité Vieux Port 13001 Marseille,,,
13001,ALIMENTATION,MARCHÉS PAYSANS,MARCHÉ JOSEPH THIERRY,,Cours Joseph Thierry 13001 Marseille,,,
13001,ALIMENTATION,RESTAURATION,CASA CONSOLAT,,1 rue Consolat 13001 Marseille,,,
13001,ALIMENTATION,RESTAURATION,COMPTOIR DUGOMMIER,,14 boulevard Dugommier 13001 Marseille,,,
13001,ALIMENTATION,RESTAURATION,GRAIN DE SABLE,,34 rue du Baignoir 13001 Marseille,,,
13001,ALIMENTATION,RESTAURATION,GREEN BEAR COFFEE,,17 rue Glandevès 13001 Marseille,,,
13001,ALIMENTATION,RESTAURATION,GREEN BEAR COFFEE,,123 La Canebière 13001 Marseille,,,
13001,ALIMENTATION,RESTAURATION,KITCH&BIO,,30 rue Fortia 13001 Marseille,,,
13001,ALIMENTATION,RESTAURATION,LA CANTINE DE LA CITÉ DE L’AGRI,,37 boulevard National 13001 Marseille,,,
13001,ALIMENTATION,RESTAURATION,L’ÉCOMOTIVE,,2 Place des Marseillaises 13001 Marseille,,,
13001,ALIMENTATION,RESTAURATION,L’ÉPICERIE L’IDÉAL,,11 rue d’Aubagne 13001 Marseille,,,
13001,ALIMENTATION,RESTAURATION,LES ONDINES,,19 Rue Saint-Bazile 13001 Marseille,,,
13001,ALIMENTATION,RESTAURATION,POUCE !,,95 Boulevard Longchamp 13001 Marseille,,,
13001,ALIMENTATION,RESTAURATION,TEMPS GOURMANDS,,8 rue des fabres 13001 Marseille,,,
13001,ALIMENTATION,RESTAURATION,VERT 12H20,,12 Rue Glandeves 13001 Marseille,,,
13001,ECOLOGIE ET NATURE EN VILLE,COMPOSTAGE,COMPOSTAGE COLLECTIF GAMBETTA,,24 Allée Léon Gambetta 13001 Marseille,,,
13001,ECOLOGIE ET NATURE EN VILLE,ESPACE ET PAYSAGE,ATELIER MARSEILLAIS D’INITIATIVES EN ECOLOGIE URBAINE (AMIEU),,66 rue d’Aubagne 13001 Marseille,,,
13001,ECOLOGIE ET NATURE EN VILLE,ESPACE ET PAYSAGE,CABANON VERTICAL,,55 rue Flegier 13001 Marseille,,,
13001,ECOLOGIE ET NATURE EN VILLE,ESPACE ET PAYSAGE,LÀ-B-O,,51 rue du Coq 13001 Marseille,,,
13001,ECOLOGIE ET NATURE EN VILLE,JARDINS,CENTRE SOCIAL BERNARD DU BOIS-VELTEN,,16 rue Bernard du Bois 13001 Marseille,,,
13001,ECOLOGIE ET NATURE EN VILLE,JARDINS,JARDIN DE LA HALLE PUGET,,Rue Halle Puget 13001 Marseille,,,
13001,ECOLOGIE ET NATURE EN VILLE,JARDINS,JARDIN DE LA ROTONDE,,7 Place Alexandre Labadie 13001 Marseille,,,
13001,ECOLOGIE ET NATURE EN VILLE,JARDINS,LES ALLÉES GAMBETTA,,22 - 32 allée Léon Gambetta 13001 Marseille,,,
13001,ECOLOGIE ET NATURE EN VILLE,SENSIBILISATION,ARDL PACA,,18 Boulevard Camille-Flammarion 13001 Marseille,,,
13001,ECOLOGIE ET NATURE EN VILLE,SENSIBILISATION,ARÈNES,,11 boulevard National 13001 Marseille,,,
13001,ECOLOGIE ET NATURE EN VILLE,SENSIBILISATION,COMPAGNIE CHAMPS LIBRES,,93 La Canebière 13001 Marseille,,,
13001,ECOLOGIE ET NATURE EN VILLE,SENSIBILISATION,LES AMISCULTEURS,,3 rue Saint Dominique 13001 Marseille,,,
13001,ECOLOGIE ET NATURE EN VILLE,VÉGÉTALISATION,BOUL’VERT NATIONAL,,24 Boulevard National 13001 Marseille,,,
13001,PROJETS EN AGRICULTURE URBAINE,FACILITATEUR DE PROJETS ,LA CITÉ DE L’AGRICULTURE,,37 boulevard National 13001 Marseille,,,
13001,PROJETS EN AGRICULTURE URBAINE,FACILITATEUR DE PROJETS ,LA RUCHE MARSEILLE,,28 Boulevard National 13001 Marseille,,,
13001,PROJETS EN AGRICULTURE URBAINE,PORTEURS DE PROJETS,MA VILLE VERTE,,20 rue Colbert 13001 Marseille,,,
13001,PROJETS EN AGRICULTURE URBAINE,PORTEURS DE PROJETS,COCO VELTEN,,16 rue Bernard du Bois 13001 Marseille,,,
13001,PRESSE ET COMMUNICATION,AGENCE DE COMMUNICATION,ART UP 13,,11 rue Venture 13001 Marseille,,,
13001,PRESSE ET COMMUNICATION,PRESSE,CITOYENS POUR DEMAIN – PROVENCEPLUS TV,,28 Boulevard National 13001 Marseille,,,
13001,ACTEURS PUBLICS ET AFFILIES,ACTEURS PUBLICS,AGAM,,49 La Canebière 13001 Marseille,,,
13001,ACTEURS PUBLICS ET AFFILIES,ACTEURS PUBLICS ,ASTREDHOR - Institut Technique de l’Horticulture,,28 Boulevard National 13001 Marseille,,,
13001,ACTEURS PUBLICS ET AFFILIES,ACTEURS PUBLICS ,AVITEM,,19 rue Vacon 13001 MARSEILLE,,,
13001,ACTEURS PUBLICS ET AFFILIES,ACTEURS PUBLICS ,CONSEIL RÉGIONAL PACA,,27 Place Jules Guesde 13001 Marseille,,,
13001,ACTEURS PUBLICS ET AFFILIES,ACTEURS PUBLICS ,ETABLISSEMENT PUBLIC FONCIER PACA,,62 La Canebière 13001 Marseille,,,
13001,ACTEURS PUBLICS ET AFFILIES,ACTEURS PUBLICS ,SOLEAM,,49 La Canebière 13001 Marseille,,,
13001,ACTEURS PUBLICS ET AFFILIES,ACTEURS PUBLICS ,VILLE DE MARSEILLE : DIRECTION DE LA PROSPECTIVE,,2 Place François Mireur 13001 Marseille,,,
13001,ACTEURS PUBLICS ET AFFILIES,ACTEURS PUBLICS,CHAMBRE DE COMMERCE ET D'INDUSTRIE,,Palais de la Bourse 9 La Canebière 13001 Marseille,,,
13001,INDÉPENDANTS,ARTISTES,MARACUYA,,13 rue des Dominicaines 13001 Marseille,,,
13002,ALIMENTATION,AMAP,LA RUCHE QUI DIT OUI,,48 quai du Lazaret 13002 Marseille,,,
13002,ALIMENTATION,AMAP,PAMA PANIER DE L'AUBERG'IN,,31Rue Caisserie 13002 Marseille,,,
13002,ALIMENTATION,CAVE A VINS NATURELS,LES BUVARDS,,34 Grand Rue 13002 Marseille,,,
13002,ALIMENTATION,MARCHÉS PAYSANS,LE MARCHE DU CATTE MERY,,Place du 23 Janvier 1943 13002 Marseille,,,
13002,ALIMENTATION,RESTAURATION,ARROSOIR,,57 Boulevard des Dames 13002 Marseille,,,
13002,ALIMENTATION,RESTAURATION,COMPTOIR NATUREL,,54 Rue Mazenod 13002 Marseille,,,
